Purchase_ID,Purchase_Date,Product_ID,Quantity
1,2026-02-09,92,46
2,2026-06-13,70,20
3,2026-07-16,89,29
4,2026-08-01,53,52
5,2026-02-01,27,63
6,2026-12-23,3,83
7,2026-06-30,39,59
8,2026-11-05,29,72
9,2026-09-06,4,59
10,2026-03-26,60,26
11,2026-07-21,76,82
12,2026-11-26,55,27
13,2026-05-14,49,51
14,2026-06-22,98,58
15,2026-05-10,11,70
16,2026-01-27,45,38
17,2026-01-16,32,35
18,2026-05-03,17,70
19,2026-04-22,60,99
20,2026-03-27,78,87
21,2026-06-09,14,84
22,2026-12-13,49,60
23,2026-12-20,81,41
24,2026-12-17,77,25
25,2026-09-30,55,94
26,2026-11-28,44,11
27,2026-08-10,47,91
28,2026-08-11,23,76
29,2026-10-03,100,71
30,2026-05-18,42,41
31,2026-05-05,97,69
32,2026-06-22,4,73
33,2026-04-19,46,43
34,2026-12-26,36,81
35,2026-02-13,31,62
36,2026-12-20,61,92
37,2026-01-09,12,47
38,2026-06-06,85,84
39,2026-09-29,45,64
40,2026-12-26,59,44
41,2026-03-03,93,34
42,2026-12-20,24,34
43,2026-05-22,93,85
44,2026-02-21,25,47
45,2026-06-04,2,100
46,2026-01-24,7,80
47,2026-11-23,97,72
48,2026-05-26,61,71
49,2026-01-27,33,71
50,2026-09-09,10,83
51,2026-03-19,20,82
52,2026-03-02,72,63
53,2026-04-26,100,76
54,2026-06-02,76,64
55,2026-01-31,79,22
56,2026-05-16,85,20
57,2026-10-10,10,30
58,2026-12-19,77,70
59,2026-05-28,91,46
60,2026-12-18,30,43
61,2026-08-06,15,79
62,2026-05-17,19,19
63,2026-11-01,96,82
64,2026-08-28,89,48
65,2026-09-14,70,73
66,2026-01-21,56,51
67,2026-02-16,30,96
68,2026-12-11,35,83
69,2026-08-29,67,93
70,2026-10-27,56,91
71,2026-06-28,53,52
72,2026-03-24,43,62
73,2026-12-06,52,80
74,2026-06-11,33,51
75,2026-09-21,1,94
76,2026-01-28,25,76
77,2026-11-17,57,16
78,2026-03-09,37,66
79,2026-01-15,81,87
80,2026-06-09,71,11
81,2026-04-26,15,69
82,2026-09-13,92,47
83,2026-08-01,62,70
84,2026-03-16,50,34
85,2026-02-05,36,63
86,2026-01-02,37,48
87,2026-03-18,58,78
88,2026-10-10,98,79
89,2026-04-07,90,40
90,2026-07-30,6,50
91,2026-07-17,85,93
