Supplier_ID,Supplier_Name,Contact_Number,City
1,Supplier 1,9895822412,Chennai
2,Supplier 2,9824942603,Coimbatore
3,Supplier 3,9813356886,Madurai
4,Supplier 4,9846913810,Salem
5,Supplier 5,9842868828,Trichy
6,Supplier 6,9839958838,Erode
7,Supplier 7,9828728463,Tiruppur
8,Supplier 8,9823756669,Vellore
9,Supplier 9,9883197857,Hosur
10,Supplier 10,9821668732,Tirunelveli
11,Supplier 11,9889254563,Chennai
12,Supplier 12,9866629388,Coimbatore
13,Supplier 13,9814265799,Madurai
14,Supplier 14,9813999315,Salem
15,Supplier 15,9822575562,Trichy
16,Supplier 16,9839345092,Erode
17,Supplier 17,9841227216,Tiruppur
18,Supplier 18,9877827638,Vellore
19,Supplier 19,9890801586,Hosur
20,Supplier 20,9813561597,Tirunelveli
