Product_ID,Product_Name,Category_ID,Supplier_ID,Unit_Price,Reorder_Level
1,Webcam 1,2,18,25000,15
2,Router 2,5,9,450,15
3,Pendrive 3,3,9,1200,15
4,SSD 4,1,3,25000,10
5,SSD 5,3,20,4500,10
6,Router 6,5,4,25000,10
7,Webcam 7,3,20,12000,15
8,Mouse 8,1,8,4500,10
9,Monitor 9,1,13,4500,25
10,SSD 10,2,12,12000,15
11,Printer 11,1,20,1200,15
12,Keyboard 12,4,13,4500,15
13,SSD 13,1,8,450,20
14,Pendrive 14,3,3,2500,20
15,Monitor 15,4,13,50000,15
16,Printer 16,2,8,4500,25
17,Speaker 17,4,12,2500,15
18,Webcam 18,4,3,450,10
19,Keyboard 19,2,14,700,25
20,Pendrive 20,5,15,4500,10
21,Mouse 21,5,9,12000,10
22,Printer 22,4,6,50000,10
23,Printer 23,5,6,700,20
24,Webcam 24,5,7,1200,20
25,Keyboard 25,5,17,450,20
26,Router 26,1,4,12000,20
27,Monitor 27,1,8,700,10
28,Router 28,1,18,1200,15
29,Router 29,5,6,4500,25
30,Monitor 30,5,7,4500,25
31,SSD 31,4,17,50000,10
32,Monitor 32,2,3,12000,10
33,Speaker 33,5,8,2500,10
34,Mouse 34,1,8,700,10
35,SSD 35,1,17,2500,20
36,Router 36,2,18,1200,25
37,Monitor 37,4,14,2500,10
38,Mouse 38,4,12,25000,25
39,Router 39,1,4,450,25
40,SSD 40,1,8,2500,15
41,Webcam 41,4,5,25000,15
42,Printer 42,4,8,700,25
43,Webcam 43,1,2,450,10
44,Monitor 44,2,14,50000,25
45,Monitor 45,4,2,1200,25
46,Laptop 46,4,9,50000,20
47,Pendrive 47,5,16,1200,15
48,Printer 48,2,2,450,20
49,Laptop 49,1,19,50000,15
50,Laptop 50,5,3,1200,10
51,Speaker 51,1,8,25000,10
52,Speaker 52,2,19,450,10
53,Pendrive 53,5,19,12000,20
54,Monitor 54,3,8,4500,25
55,Keyboard 55,3,15,12000,10
56,Laptop 56,4,20,700,10
57,Webcam 57,2,17,4500,15
58,SSD 58,1,8,12000,20
59,Keyboard 59,4,18,4500,10
60,Webcam 60,3,4,1200,20
61,Mouse 61,1,18,1200,20
62,Printer 62,5,7,12000,15
63,Printer 63,5,16,4500,10
64,Mouse 64,4,9,450,10
65,SSD 65,2,9,1200,25
66,Webcam 66,4,18,450,10
67,Mouse 67,2,18,450,20
68,Speaker 68,5,5,25000,15
69,Laptop 69,3,12,450,20
70,Monitor 70,2,4,12000,25
71,Speaker 71,2,8,1200,15
72,Pendrive 72,1,6,12000,25
73,Monitor 73,3,6,700,25
74,Laptop 74,4,8,2500,25
75,SSD 75,3,8,2500,10
76,Monitor 76,4,11,4500,10
77,Printer 77,3,17,25000,20
78,Laptop 78,1,9,1200,20
79,Laptop 79,1,20,25000,20
80,SSD 80,4,20,700,25
81,Speaker 81,2,9,450,25
82,Laptop 82,5,18,2500,20
83,Pendrive 83,1,11,12000,10
84,Printer 84,5,10,25000,20
85,Pendrive 85,3,18,1200,15
86,Pendrive 86,4,6,4500,25
87,Webcam 87,1,10,4500,15
88,Pendrive 88,5,20,12000,25
89,Router 89,4,7,50000,15
90,Mouse 90,3,17,12000,10
91,Monitor 91,3,8,2500,15
92,Laptop 92,1,8,50000,10
93,Router 93,4,19,2500,25
94,Router 94,4,8,1200,10
95,Mouse 95,4,8,1200,25
96,Laptop 96,5,8,700,25
97,Keyboard 97,4,17,12000,25
98,Speaker 98,5,14,50000,15
99,Router 99,4,9,2500,20
100,Webcam 100,4,8,4500,25
