Product_Name,Unit_Price,Total_Purchased,Total_Sold,Current_Stock,Inventory_Value
"Laptop 49",50000.00,473,56,417,20850000.00
"Speaker 98",50000.00,399,83,316,15800000.00
"Monitor 44",50000.00,310,56,254,12700000.00
"Laptop 92",50000.00,213,50,163,8150000.00
"Printer 77",25000.00,428,150,278,6950000.00
"Mouse 38",25000.00,381,115,266,6650000.00
"Speaker 68",25000.00,342,103,239,5975000.00
"Monitor 15",50000.00,222,104,118,5900000.00
"SSD 10",12000.00,535,60,475,5700000.00
"Pendrive 83",12000.00,530,66,464,5568000.00
"Webcam 1",25000.00,257,41,216,5400000.00
"SSD 31",50000.00,278,178,100,5000000.00
"SSD 4",25000.00,310,127,183,4575000.00
"Keyboard 55",12000.00,408,58,350,4200000.00
"Monitor 32",12000.00,433,88,345,4140000.00
"Webcam 41",25000.00,254,94,160,4000000.00
"Printer 62",12000.00,434,105,329,3948000.00
"Keyboard 97",12000.00,339,86,253,3036000.00
"Pendrive 53",12000.00,324,74,250,3000000.00
"Laptop 79",25000.00,232,117,115,2875000.00
"Printer 22",50000.00,183,133,50,2500000.00
"Webcam 87",4500.00,605,65,540,2430000.00
"Router 26",12000.00,312,111,201,2412000.00
"SSD 58",12000.00,349,161,188,2256000.00
"Speaker 51",25000.00,216,143,73,1825000.00
"Keyboard 12",4500.00,491,117,374,1683000.00
"Pendrive 20",4500.00,412,50,362,1629000.00
"SSD 5",4500.00,381,39,342,1539000.00
"Pendrive 72",12000.00,301,173,128,1536000.00
"Laptop 82",2500.00,622,162,460,1150000.00
"Webcam 100",4500.00,381,127,254,1143000.00
"Mouse 90",12000.00,136,47,89,1068000.00
"Laptop 74",2500.00,474,47,427,1067500.00
"Monitor 54",4500.00,309,94,215,967500.00
"Speaker 33",2500.00,507,121,386,965000.00
"Webcam 7",12000.00,120,41,79,948000.00
"Monitor 9",4500.00,307,113,194,873000.00
"Router 93",2500.00,443,95,348,870000.00
"Monitor 76",4500.00,216,48,168,756000.00
"Monitor 30",4500.00,233,66,167,751500.00
"Monitor 70",12000.00,198,136,62,744000.00
"Monitor 37",2500.00,384,99,285,712500.00
"Keyboard 59",4500.00,258,116,142,639000.00
"Pendrive 14",2500.00,304,58,246,615000.00
"Webcam 57",4500.00,274,156,118,531000.00
"Printer 16",4500.00,226,111,115,517500.00
"Monitor 45",1200.00,500,77,423,507600.00
"SSD 65",1200.00,454,79,375,450000.00
"Pendrive 47",1200.00,443,101,342,410400.00
"Router 99",2500.00,263,105,158,395000.00
"Webcam 60",1200.00,465,152,313,375600.00
"SSD 40",2500.00,281,136,145,362500.00
"Router 89",50000.00,121,114,7,350000.00
"Printer 11",1200.00,343,55,288,345600.00
"Pendrive 85",1200.00,392,126,266,319200.00
"Router 6",25000.00,149,137,12,300000.00
"Router 36",1200.00,377,148,229,274800.00
"Laptop 50",1200.00,291,64,227,272400.00
"Printer 42",700.00,570,189,381,266700.00
"Router 29",4500.00,147,88,59,265500.00
"Pendrive 88",12000.00,81,61,20,240000.00
"Mouse 61",1200.00,273,75,198,237600.00
"Mouse 95",1200.00,353,158,195,234000.00
"Keyboard 19",700.00,394,64,330,231000.00
"Pendrive 3",1200.00,208,26,182,218400.00
"Webcam 66",450.00,507,33,474,213300.00
"Router 28",1200.00,230,59,171,205200.00
"Laptop 56",700.00,344,67,277,193900.00
"Speaker 17",2500.00,149,86,63,157500.00
"Monitor 27",700.00,345,120,225,157500.00
"Monitor 91",2500.00,183,125,58,145000.00
"Laptop 69",450.00,378,56,322,144900.00
"Printer 23",700.00,305,103,202,141400.00
"Webcam 18",450.00,439,173,266,119700.00
"Mouse 67",450.00,283,23,260,117000.00
"Router 2",450.00,306,54,252,113400.00
"SSD 80",700.00,195,42,153,107100.00
"Printer 48",450.00,390,154,236,106200.00
"Webcam 24",1200.00,178,92,86,103200.00
"Mouse 21",12000.00,61,53,8,96000.00
"Speaker 81",450.00,292,85,207,93150.00
"Mouse 34",700.00,136,28,108,75600.00
"Monitor 73",700.00,234,136,98,68600.00
"Keyboard 25",450.00,240,112,128,57600.00
"Speaker 52",450.00,272,145,127,57150.00
"Laptop 96",700.00,229,164,65,45500.00
"Webcam 43",450.00,181,106,75,33750.00
"SSD 13",450.00,139,82,57,25650.00
"Laptop 78",1200.00,87,79,8,9600.00
"Mouse 64",450.00,123,117,6,2700.00
"Router 39",450.00,89,97,-8,-3600.00
"SSD 75",2500.00,133,137,-4,-10000.00
"SSD 35",2500.00,223,227,-4,-10000.00
"Router 94",1200.00,54,102,-48,-57600.00
"Printer 84",25000.00,144,147,-3,-75000.00
"Speaker 71",1200.00,156,232,-76,-91200.00
"Mouse 8",4500.00,98,155,-57,-256500.00
"Printer 63",4500.00,63,164,-101,-454500.00
"Laptop 46",50000.00,111,123,-12,-600000.00
"Pendrive 86",4500.00,62,229,-167,-751500.00
