Sales_ID,Sales_Date,Product_ID,Quantity
1,2026-05-01,35,22
2,2026-03-12,20,15
3,2026-12-28,28,5
4,2026-10-05,60,27
5,2026-07-19,99,38
6,2026-07-14,62,1
7,2026-08-03,69,35
8,2026-04-23,35,28
9,2026-06-22,86,26
10,2026-11-15,69,2
11,2026-12-06,4,6
12,2026-08-25,24,4
13,2026-04-19,59,21
14,2026-05-23,97,27
15,2026-01-10,96,35
16,2026-11-29,9,3
17,2026-01-11,80,10
18,2026-12-09,15,37
19,2026-05-12,99,24
20,2026-02-28,100,11
21,2026-01-14,40,37
22,2026-04-12,10,38
23,2026-02-22,90,20
24,2026-10-17,6,23
25,2026-07-09,9,33
26,2026-08-04,63,7
27,2026-08-24,91,10
28,2026-11-30,35,40
29,2026-08-27,56,38
30,2026-02-14,36,29
31,2026-10-19,79,25
32,2026-06-16,24,32
33,2026-06-24,36,39
34,2026-01-06,67,13
35,2026-09-08,72,16
36,2026-12-31,63,29
37,2026-04-24,52,16
38,2026-07-08,61,36
39,2026-10-09,43,23
40,2026-06-06,33,15
41,2026-06-11,16,35
42,2026-04-21,95,31
43,2026-09-26,77,19
44,2026-04-27,47,12
45,2026-10-01,17,18
46,2026-05-30,90,9
47,2026-02-22,2,37
48,2026-08-14,44,12
49,2026-02-28,9,26
50,2026-11-19,88,4
51,2026-06-05,11,16
52,2026-11-07,77,40
53,2026-07-14,58,29
54,2026-06-06,73,40
55,2026-04-17,81,14
56,2026-03-22,31,12
57,2026-01-02,53,29
58,2026-05-30,5,15
59,2026-12-26,59,5
60,2026-11-17,76,13
61,2026-04-26,83,10
62,2026-01-31,22,20
63,2026-05-28,57,8
64,2026-12-25,52,18
65,2026-08-13,11,39
66,2026-11-06,33,2
67,2026-10-22,76,2
68,2026-01-21,98,12
69,2026-08-15,36,12
70,2026-09-09,12,31
71,2026-06-14,86,7
72,2026-12-22,64,19
73,2026-01-19,59,6
74,2026-03-01,99,26
75,2026-10-05,60,27
76,2026-07-05,80,32
77,2026-04-15,35,36
78,2026-12-24,63,8
79,2026-05-03,91,11
80,2026-10-10,53,6
81,2026-03-02,83,10
82,2026-09-18,91,18
83,2026-05-05,59,36
84,2026-11-03,66,9
85,2026-06-24,65,18
86,2026-10-28,75,32
87,2026-09-05,45,22
88,2026-07-13,59,21
89,2026-10-20,50,15
90,2026-08-31,91,25
91,2026-03-19,64,3
92,2026-06-19,13,29
93,2026-01-08,93,10
94,2026-02-08,61,17
95,2026-07-23,84,6
96,2026-07-14,41,32
97,2026-02-05,31,19
98,2026-08-11,13,7
99,2026-06-03,4,3
100,2026-07-03,48,28
101,2026-07-30,73,12
102,2026-11-09,49,40
103,2026-10-26,19,15
104,2026-08-24,33,1
105,2026-10-07,21,5
106,2026-06-03,82,28
107,2026-06-04,26,25
108,2026-07-15,74,23
109,2026-06-01,3,26
110,2026-12-18,100,4
111,2026-05-27,100,15
112,2026-11-22,25,40
113,2026-12-15,18,7
114,2026-06-08,57,3
115,2026-02-16,38,21
116,2026-03-09,70,24
117,2026-03-26,33,31
118,2026-02-28,60,5
119,2026-12-13,93,26
120,2026-07-22,2,17
121,2026-07-08,87,17
122,2026-07-10,14,15
123,2026-10-15,42,40
124,2026-11-22,60,20
125,2026-03-13,6,3
126,2026-02-19,31,35
127,2026-07-09,86,35
128,2026-08-01,84,7
129,2026-05-24,5,24
130,2026-05-01,47,7
131,2026-11-27,46,4
132,2026-03-04,59,6
133,2026-11-24,77,2
134,2026-03-06,73,14
135,2026-04-17,76,14
136,2026-11-02,1,18
137,2026-05-09,23,8
138,2026-01-08,46,16
139,2026-03-31,34,4
140,2026-09-27,15,5
141,2026-09-20,76,7
142,2026-11-11,6,34
143,2026-01-16,8,31
144,2026-02-25,63,29
145,2026-11-08,19,5
146,2026-11-21,75,36
147,2026-11-02,68,19
148,2026-08-09,13,8
149,2026-04-21,56,29
150,2026-08-21,52,27
151,2026-06-10,86,17
152,2026-08-31,9,6
153,2026-02-19,96,24
154,2026-10-28,72,36
155,2026-07-30,46,28
156,2026-06-09,46,7
157,2026-03-21,85,31
158,2026-10-12,48,8
159,2026-08-08,72,40
160,2026-10-13,4,39
161,2026-01-15,24,18
162,2026-06-23,45,1
163,2026-12-03,52,5
164,2026-01-16,12,34
165,2026-08-21,44,11
166,2026-10-18,77,6
167,2026-11-13,7,6
168,2026-08-06,63,39
169,2026-04-21,97,33
170,2026-02-26,37,38
171,2026-06-07,6,15
172,2026-01-04,27,20
173,2026-05-11,38,21
174,2026-08-09,23,9
